skills,profession
"Поддержка психического здоровья, Гибкость мышления, Защита прав детей, Управление изменениями, Работа с сообществами, Поддержка пожилых людей",Социальный работник
"Брендинг, Наставничество, Макетирование, Illustrator, InDesign, Стратегическое мышление, Sketch",Графический дизайнер
"Грамотная речь, Глубокое обучение, SQL, Визуализация данных, Нейронные сети, Pandas, Python, Публичные выступления, Анализ данных, Инженерия признаков",Data Scientist
"Постпродажное сопровождение, Многозадачность, Планирование встреч, Разработка предложений, Работа в международной среде, Установление контакта",Менеджер по продажам
"Управление объемом работ, Управление сроками, Базовые навыки работы с данными, Планирование проектов, Бюджетирование, Знание PMBOK, Финансовая грамотность, Навыки исследования, Лидерство, Управление заинтересованными сторонами, Управление рисками, Agile",Руководитель проектов
"PyTorch, Python, Работа под давлением, AWS, Участие в мозговых штурмах, Компьютерное зрение, Грамотная речь",Инженер машинного обучения
"HTML, SQL, Системы аутентификации, JavaScript, Express.js, MongoDB, REST API, Многозадачность",Фулстек-разработчик
"Стратегическое мышление, Адаптивная верстка, Express.js, GraphQL, HTML, MongoDB, Webpack, React, Django",Фулстек-разработчик
"Многозадачность, Обучаемость, Межсетевые экраны, Работа с SOC, Обнаружение вторжений, Реагирование на инциденты",Специалист по кибербезопасности
"Оформление документации, Лечение кариеса, Осмотр полости рта, Клиентоориентированность, Управление пациентскими страхами, Диагностика заболеваний зубов, Эстетическая стоматология, Хирургическая стоматология, Проведение анестезии, Обучение гигиене полости рта, Профилактика заболеваний",Стоматолог
"React, REST API, Базовые юридические знания, Базовые навыки работы с данными, Грамотная речь, SQL",Фулстек-разработчик
"Формирование коллекций, Сохранение фондов, Цифровые библиотеки, Маркетинг библиотеки, Авторское право, Каталогизация, Информационная грамотность, Коммуникабельность",Библиотекарь
"Балансировка нагрузки, Масштабируемость, Ответственность, Azure, Проектирование систем, Контейнеризация",Системный архитектор
"Предобработка данных, Поддержание документооборота, Оптимизация моделей, Docker, AWS, Машинное обучение",Инженер машинного обучения
"Распределение электроэнергии, Монтаж кабельных каналов, Меры безопасности, Электротехнические нормы, Аналитическое мышление, Электропроводка, Системы низкого напряжения, Чтение электрических схем",Электрик
"Работа в команде, Сервировка столов, Профессиональный внешний вид, Решение проблем, Обслуживание клиентов, Клиентоориентированность, Многозадачность",Официант
"Искусственный интеллект в играх, Понимание основ маркетинга, Многозадачность, Основы анимации, Координация мероприятий",Гейм-дизайнер
"Право интеллектуальной собственности, Корпоративное право, Юридические исследования, Самомотивация, Трудовое право, Регуляторное соответствие, Оценка рисков, Анализ законодательства",Юрист
"Планирование тренировок, Силовые тренировки, Ответственность, Персональный тренинг, Контроль веса, Обратная связь сотрудникам, Групповые тренировки, Реабилитационные тренировки, Профилактика травм, Управление конфликтами",Фитнес-тренер
"Кроссплатформенная разработка, Подготовка отчетов, Работа в международной среде, C#, Анимация, 3D-моделирование, Программирование шейдеров, Участие в мозговых штурмах",Разработчик VR/AR
"Установка генераторов, Чтение электрических схем, Поддержание документооборота, Соблюдение сроков",Электрик
"Маркетинговые исследования, Сегментация клиентов, Google Analytics, PPC-кампании, Координация мероприятий, Email-маркетинг, Копирайтинг, Клиентоориентированность, Контент-маркетинг, A/B тестирование, Умение работать удаленно, Маркетинговая стратегия",Маркетолог
"Планирование маршрута, Ведение социальных сетей, Эмоциональный интеллект, Правила дорожного движения, Решение проблем, Техническое обслуживание автомобиля, Постановка целей",Водитель
"Информационная грамотность, Финансовая грамотность, Обслуживание пользователей, Участие в мозговых штурмах, Управление библиотечными системами, Ответственность",Библиотекарь
"Анализ рынка, Scrum, Определение MVP, Исследование пользователей, Поддержание документооборота, Основы UX, Wireframing, Анализ данных, Дорожная карта продукта, JIRA",Продуктовый менеджер (IT)
"Проведение презентаций, Базовые навыки работы с данными, Tableau, Очистка данных, Умение работать удаленно, A/B тестирование",Аналитик данных
"MongoDB, CSS, Публичные выступления, React, GraphQL, Координация мероприятий, REST API, Express.js, TypeScript, JavaScript, Webpack, SQL",Фулстек-разработчик
"Docker, Python, Node.js, Работа в команде, Java, PostgreSQL, Гибкость мышления, Spring Boot, Kubernetes, Постановка целей, Express.js",Бэкенд-разработчик
"Ответственность, Навыки продаж, Проведение презентаций, Анализ рынка, Проведение переговоров, Оценка эффективности, Поиск клиентов",Менеджер по развитию бизнеса
"Точность перевода, Профессиональное владение языками, Юридический перевод, Навыки письма, Технический перевод, Редактирование текстов, Соблюдение конфиденциальности, Использование CAT-Tools, Клиентоориентированность, Синхронный перевод, Обратная связь сотрудникам, Культурные особенности",Переводчик
"PPC-кампании, Разработка предложений, Маркетинговые исследования, Маркетинговая стратегия",Маркетолог
"Самостоятельность, Разрешение конфликтов, Эмпатия, Публичные выступления, Управление случаями, Поддержка психического здоровья",Социальный работник
"Постановка целей, Распределенные системы, Поддержание документооборота, Проектирование систем, Масштабируемость, Проектирование баз данных, Облачные вычисления, Архитектура микросервисов, AWS",Системный архитектор
"Аналитическое мышление, Копирайтинг, Photoshop, Adobe XD, Дизайн UI/UX, Figma",Графический дизайнер
"Деловая переписка, Настройка оборудования, Работа с тикет-системами, Удаленная помощь, Самомотивация, Аналитика запросов, Обновление систем, Работа в команде, Техническая поддержка ПО, Управление приоритетами, Обратная связь сотрудникам, Диагностика проблем",Инженер технической поддержки
"Профилактика травм, Планирование тренировок, Персональный тренинг, Обучение здоровому образу жизни, Групповые тренировки, Использование фитнес-оборудования, Навыки деловых переговоров",Фитнес-тренер
"Навыки продаж, Создание учебных материалов, Инклюзивное образование, Детская психология, Разработка учебных программ",Учитель
"Анализ данных, Дорожная карта продукта, Лидерские качества, Наставничество",Продуктовый менеджер (IT)
"Документирование решений, Решение инцидентов, Работа с тикет-системами, Обновление систем, Работа в команде, Настройка оборудования, Грамотная речь, Техническая поддержка ПО, Диагностика проблем, Установка ПО",Инженер технической поддержки
"Протезирование, Самомотивация, Работа с рентгеном, Хирургическая стоматология, Обратная связь сотрудникам, Умение работать удаленно, Диагностика заболеваний зубов, Консультация пациентов",Стоматолог
"Поддержание документооборота, Мобильные VR-приложения, Unity, SDK виртуальной реальности, Навыки деловых переговоров, Подготовка отчетов, C#",Разработчик VR/AR
"Selenium, Автоматизированное тестирование, Работа с офисной техникой, Нагрузочное тестирование, Ручное тестирование, Тестирование API, Разработка новых идей, Фреймворки автоматизации тестирования",Инженер по тестированию ПО
"Оптимизация рабочих процессов, Confluence, Моделирование бизнес-процессов, JIRA, Картирование процессов, Wireframing, Коммуникация с заинтересованными сторонами, Наставничество, SWOT-анализ, Контроль качества",Бизнес-аналитик
"Копирайтинг, Мотивация клиентов, Персональный тренинг",Фитнес-тренер
"Самомотивация, Agile-методологии, Коммуникация с заинтересованными сторонами, SQL для анализа данных, Scrum, Тайм-менеджмент, Confluence, UML, Наставничество",Бизнес-аналитик
"Разработка новых идей, Питание животных, Фармакология животных, Уход за животными, Креативность, Ответственность, Диагностика заболеваний, Лабораторные исследования, Хирургические процедуры, Соблюдение ветеринарных стандартов, Интерпретация рентгеновских снимков",Ветеринар
"ETL-пайплайны, Базовые навыки работы с данными, Airflow, Оптимизация запросов, Наставничество, Проектирование баз данных, Организационные навыки, Hadoop, Python, DevOps для данных",Инженер по данным
"Постановка целей, Apache Spark, Scala, Проектирование баз данных, Хранилища данных, Публичные выступления",Инженер данных
"Работа с базами знаний, Работа с тикет-системами, Настройка оборудования, Управление конфликтами, Обновление систем, Диагностика проблем, Аналитика запросов, Тестирование оборудования, Техническая поддержка ПО",Инженер технической поддержки
"PPC-кампании, Копирайтинг, SEO, Маркетинговые исследования, Наставничество, Цифровая реклама, Управление временем, Стратегическое мышление, Маркетинговая стратегия",Маркетолог
"Управление объемом работ, Планирование проектов, Лидерские качества, Agile, Распределение ресурсов, Scrum Master, Знание PMBOK, Управление сроками, Бюджетирование",Руководитель проектов
"Заключение сделок, Построение долгосрочных отношений, Холодные звонки, Установление контакта, Грамотная речь, Постпродажное сопровождение, Планирование встреч, Ведение переговоров, Работа с возражениями, Публичные выступления",Менеджер по продажам
"Коммуникация с клиентами, Удаленная помощь, Работа с базами знаний, Диагностика проблем, Навыки деловых переговоров, Настройка оборудования, Участие в мозговых штурмах, Работа под давлением, Установка ПО",Инженер технической поддержки
"Трудовое право, Составление юридических документов, Работа в команде, Консультирование клиентов, Управление временем, Юридические исследования",Юрист
"Гибкость мышления, Проведение лечебной физкультуры, Разработка программ реабилитации, Работа с пожилыми пациентами, Консультирование пациентов, Работа с травмированными пациентами, Проведение физиопроцедур, Укрепление мышц, Оценка физического состояния, Документирование прогресса, Манипулятивные техники, Умение работать удаленно, Базовые юридические знания",Физиотерапевт
"Навыки деловых переговоров, SDK дополненной реальности, Симуляция физики, Навыки исследования",Разработчик VR/AR
"Терапия внутривенных вливаний, Клинические процедуры, Командная работа, Уход за пожилыми людьми, Контроль качества, Уход за пациентами, Работа под давлением, Введение лекарств",Медсестра
"Figma, Визуальная коммуникация, Умение работать удаленно, Работа под давлением, Photoshop, Макетирование, Adobe XD, Работа с офисной техникой",Графический дизайнер
"Data Storytelling, Клиентоориентированность, Customer Journey Mapping, Создание дашбордов",Аналитик по продукту
"Навыки исследования, Финансовая отчетность, Учет затрат, Excel для бухгалтерии, Работа с офисной техникой, Бухгалтерский учет, Кредиторская задолженность",Бухгалтер
"Самомотивация, Регрессионное тестирование, Работа под давлением, Тестирование API, Анализ производительности, Управление дефектами, Нагрузочное тестирование, Фреймворки автоматизации тестирования, Автоматизированное тестирование, Ручное тестирование, Отчетность по багам, JMeter, Аналитическое мышление",Инженер по тестированию ПО
"Сетевые технологии, Active Directory, Bash-скрипты, Системы мониторинга, Инструменты автоматизации, Облачная инфраструктура, Виртуализация серверов, Навыки исследования, Базовые юридические знания, Резервное копирование",Системный администратор
"Проведение презентаций, Уход за ранами, Введение лекарств, Наставничество, Командная работа, Уход за пожилыми людьми, Ведение документации, Клинические процедуры, Управление конфликтами, Поддержка психического здоровья",Медсестра
"Навыки деловых переговоров, Бизнес-переписка, Использование CAT-Tools, Технический перевод",Переводчик
"A/B тестирование, Email-маркетинг, Маркетинговая стратегия, Обучаемость, Понимание основ маркетинга, Контент-маркетинг, Поддержание документооборота, Генерация лидов, PPC-кампании, Управление брендом, SEO",Маркетолог
"Чтение электрических схем, Организационные навыки, Электротехнические нормы, Монтаж кабельных каналов, Деловая переписка",Электрик
"Excel для бухгалтерии, QuickBooks, Учет затрат, Управление заработной платой, Бюджетирование, Участие в мозговых штурмах, Регуляторное соответствие, Разработка новых идей, Копирайтинг, Бухгалтерский учет",Бухгалтер
"Моделирование данных, Постановка целей, BigQuery, Airflow, Многозадачность, Организационные навыки",Инженер данных
"Соблюдение ветеринарных стандартов, Управление временем, Изучение поведения животных, Лабораторные исследования, Гибкость мышления, Управление анестезией, Интерпретация рентгеновских снимков, Вакцинация, Ведение документации",Ветеринар
"Ответственность, SQL, React, Разработка предложений, Django, Ведение социальных сетей, Node.js",Фулстек-разработчик
"JavaScript, React, Vue.js, Angular, Клиентоориентированность",Фронтенд-разработчик
"MongoDB, REST API, Наставничество, Подготовка отчетов, Node.js, CSS, Express.js",Фулстек-разработчик
"Коммуникация с владельцами животных, Стратегическое мышление, Экстренная помощь животным, Решение проблем",Ветеринар
"Мобильные VR-приложения, Кроссплатформенная разработка, Оптимизация сцен, SDK дополненной реальности, Подготовка отчетов, Навыки деловых переговоров, Навыки продаж, 3D-моделирование, Unity, Анимация, Симуляция физики",Разработчик VR/AR
"Уход за ранами, Мониторинг жизненных показателей, Командная работа, Уход за пациентами, Экстренная помощь, Разработка предложений, Введение лекарств, Терапия внутривенных вливаний, Клинические процедуры, Уход за пожилыми людьми, Ведение документации",Медсестра
"Копирайтинг, Электротехнические нормы, Распределение электроэнергии, Поиск и устранение неисправностей, Монтаж солнечных панелей, Обучаемость, Жилая электрика, Аналитическое мышление, Чтение электрических схем, Управление электродвигателями",Электрик
"Организация обучения, Подбор персонала, Адаптация сотрудников, Финансовая грамотность, Мониторинг рынка труда, Управление конфликтами, Кадровое делопроизводство, Развитие бренда работодателя, Участие в построении корпоративной культуры, Решение конфликтов",HR-специалист
"PostgreSQL, REST API, Организационные навыки, Обучаемость, Express.js, Spring Boot, Django",Бэкенд-разработчик
"Управление классом, Инклюзивное образование, Грамотная речь, Мотивация учеников, Творческое преподавание, Координация мероприятий, Дистанционное обучение, Детская психология, Разработка учебных программ, Планирование уроков, Оценка учащихся",Учитель
"Pandas, Очистка данных, Креативность, SQL, Power BI, Отслеживание KPI, Excel, Наставничество, Отчетность, Рассказывание историй через данные, Бизнес-анализ, Работа под давлением",Аналитик данных
"SIEM-системы, Контроль доступа, Проведение презентаций",Специалист по кибербезопасности
"Облачное хранение, Ответственность, Python",Инженер данных
"Проведение тестов на проникновение, Криптография, Фаерволы, Анализ уязвимостей, Системы IDS/IPS, Аудит безопасности, Основы компьютерной криминалистики, Безопасность сетей, Облачная безопасность, Понимание основ маркетинга, Коммуникабельность",Специалист по информационной безопасности
"Консультирование клиентов, Организационные навыки, Трудовое право, Постановка целей, Соблюдение сроков, Составление юридических документов",Юрист
"Бетонные работы, Чтение чертежей, Основы сварки, Перемещение материалов, Монтаж строительных лесов, Работа под давлением, Земляные работы, Подготовка площадки, Поддержание чистоты на рабочем месте, Строительная безопасность, Клиентоориентированность",Строитель
"Планирование маршрута, Обслуживание клиентов, Понимание основ маркетинга, Финансовая грамотность, Решение проблем, Оборонительное вождение, Базовые знания механики, Крепление грузов, Экономия топлива",Водитель
"Эмоциональный интеллект, Ведение социальных сетей, Python, ETL-пайплайны, Моделирование данных, Оптимизация запросов, Проектирование баз данных, SQL, Big Data, Apache Spark",Инженер по данным
"Контроль за сроками, Организация встреч, Работа с JIRA/Asana, Контроль качества, Планирование бюджета, Стратегическое мышление, Распределение задач, Коммуникация с командами",Координатор проектов
"Конфиденциальность пациента, Оценка психического здоровья, Психологическое тестирование, Финансовая грамотность, Этические стандарты, Управление стрессом, Кризисное вмешательство, Когнитивно-поведенческая терапия, Методы исследований, Ведение документации, Разработка новых идей",Психолог
"Коммуникация с заинтересованными сторонами, Обучаемость, Анализ разрывов, Стратегическое планирование, Управление конфликтами, Wireframing, UML, Оптимизация рабочих процессов, Confluence",Бизнес-аналитик
"Дальние поездки, Координация мероприятий, Экономия топлива, Оборонительное вождение, Техническое обслуживание автомобиля, Навигационные навыки, Ведение записей, Обслуживание клиентов, Крепление грузов",Водитель
"Поиск и устранение неисправностей, Организационные навыки, Чтение электрических схем, Управление временем, Жилая электрика, Системы низкого напряжения, Поддержание документооборота, Тестирование цепей, Установка освещения, Монтаж кабельных каналов",Электрик
"Постановка целей, Оформление документации, Управление временем, Профилактика заболеваний, Разработка новых идей",Стоматолог
"Бизнес-анализ, Очистка данных, Отслеживание KPI, Python, Статистика, Эмоциональный интеллект, Координация мероприятий, SQL, A/B тестирование, Pandas, Работа под давлением",Аналитик данных
"Водопадная модель, Отчетность, Самостоятельность",Руководитель проектов
"Манипулятивные техники, Управление болью, Работа с пожилыми пациентами, Подготовка отчетов, Укрепление мышц, Оценка физического состояния, Базовые навыки работы с данными, Консультирование пациентов, Контроль качества, Реабилитация после операций, Проведение лечебной физкультуры, Массаж, Работа с ортопедическими проблемами",Физиотерапевт
"Подготовка отчетов, Эмоциональный интеллект, 3D-моделирование, SDK дополненной реальности, C#, Симуляция физики, Интеграция 3D-объектов, Unreal Engine, Мобильные VR-приложения, Пространственный звук",Разработчик VR/AR
"Каталогизация, Авторское право, Стандарты метаданных, Обмен ресурсами, Референсные услуги, Формирование коллекций, Обратная связь сотрудникам, Цифровые библиотеки",Библиотекарь
"Работа в международной среде, Приоритизация фич, Анализ рынка, Коммуникация с заинтересованными сторонами, Основы UX, Наставничество",Продуктовый менеджер (IT)
"Теория цвета, Illustrator, Макетирование, Проведение презентаций, Прототипирование, Figma, Типографика, Базовые юридические знания",Графический дизайнер
"Проектирование систем, Масштабируемость, Планирование инфраструктуры, Тайм-менеджмент",Системный архитектор
"Программирование шейдеров, Оптимизация сцен, Поддержание документооборота, 3D-моделирование, Кроссплатформенная разработка",Разработчик VR/AR
"Оформление документации, Эстетическая стоматология, Профилактика заболеваний, Проведение анестезии, Обучение гигиене полости рта, Осмотр полости рта, Диагностика заболеваний зубов, Навыки деловых переговоров, Удаление зубов, Протезирование, Лечение кариеса",Стоматолог
"Визуализация данных, Базовые навыки работы с данными, Анализ данных, Работа с большими данными",Специалист по качеству данных
"Postman, Стандарты качества, Ведение социальных сетей, JMeter, Проектирование тест-кейсов, Управление дефектами, Автоматизированное тестирование, Лидерские качества, Анализ производительности, Отчетность по багам, Ручное тестирование, Нагрузочное тестирование",Инженер по тестированию ПО
"Лидерство, Разрешение конфликтов, Управление объемом работ, Бюджетирование, Scrum Master, Гибкость мышления",Руководитель проектов
"Удаленная помощь, Работа с базами знаний, Коммуникация с клиентами, Диагностика проблем, Документирование решений, Постановка целей, Установка ПО",Инженер технической поддержки
"Деловая переписка, React, Системы аутентификации, Навыки деловых переговоров, GraphQL, Express.js, SQL, CSS, Организационные навыки, MongoDB, REST API",Фулстек-разработчик
"Диагностика проблем, Тестирование оборудования, Координация мероприятий, Настройка оборудования, Установка ПО, Базовые юридические знания, Креативность",Инженер технической поддержки
"Базовая хирургия, Вакцинация, Медицинская этика, Участие в мозговых штурмах, Деловая переписка, Управление изменениями, Основы радиологии, Клинические исследования, Анализ анамнеза, Первая помощь, Планирование лечения, Осмотр пациента, Мониторинг состояния",Врач
"Инженерия признаков, Развертывание моделей, Грамотная речь, Статистика, Глубокое обучение, Гибкость мышления, Нейронные сети, SQL, Python",Data Scientist
"Оптимизация производительности, Геймдизайн, Анимация, Лидерские качества, Подготовка отчетов, Финансовая грамотность, Физика в играх, Разработка для iOS",Разработчик мобильных игр
"Установка освещения, Коммерческая электрика, Распределение электроэнергии, Поиск и устранение неисправностей, Тестирование цепей, Креативность, Меры безопасности, Монтаж кабельных каналов, Электропроводка",Электрик
"Отслеживание прогресса, Клиентоориентированность, Деловая переписка, Копирайтинг, Ораторское искусство, Разработка учебных программ",Учитель
"Управление изменениями, Лучшие практики безопасности, Контейнеризация, Умение работать удаленно, Распределенные системы, Облачные вычисления, Архитектура микросервисов, Сетевые технологии, Проектирование систем, Балансировка нагрузки, Базовые навыки работы с данными, AWS, Проектирование баз данных",Системный архитектор
"Помощь в исследованиях, Управление конфликтами, Поиск информации, Обмен ресурсами, Работа в международной среде, Управление изменениями",Библиотекарь
"Apache Spark, Python, Базовые юридические знания, Data Lake Architecture, Стратегическое мышление, SQL, Разработка новых идей",Инженер по данным
"Работа с SOC, Контроль доступа, Наставничество, Обеспечение соответствия стандартам, Контроль качества, Реагирование на инциденты, Управление временем",Специалист по кибербезопасности
"Участие в мозговых штурмах, Кардионагрузки, Групповые тренировки, Аналитическое мышление, Развитие гибкости, Силовые тренировки, Реабилитационные тренировки, Персональный тренинг, Организационные навыки, Контроль веса, Профилактика травм, Навыки оказания первой помощи",Фитнес-тренер
"Укладка волос, Консультация клиентов, Знание продукции, Профессионализм, Наращивание волос, Удержание клиентов, Ведение социальных сетей, Копирайтинг, Санитарные нормы, Окрашивание волос, Уход за кожей головы, Техники укладки феном",Парикмахер
"Монтаж гипсокартона, Наставничество, Эксплуатация тяжелой техники, Монтаж строительных лесов, Асфальтирование",Строитель
"Ведение социальных сетей, Работа с сообществами, Знание социальных служб, Соблюдение конфиденциальности, Наставничество, Подготовка отчетов, Разрешение конфликтов, Управление случаями, Кризисное вмешательство, Координация ресурсов, Эмпатия",Социальный работник
"Оформление заказов, Разработка новых идей, Поддержание выкладки, Консультации по безрецептурным препаратам, Оценка взаимодействия лекарств, Решение проблем",Фармацевт-консультант
"Unity, Оптимизация сцен, Интеграция 3D-объектов, UX для VR/AR, C#, Мобильные VR-приложения, Базовые юридические знания, 3D-моделирование",Разработчик VR/AR
"Базовые навыки работы с данными, Консультирование покупателей, Обратная связь сотрудникам, Продажа товаров для здоровья, Управление конфликтами",Фармацевт-консультант
"Email-маркетинг, Генерация лидов, Управление брендом, A/B тестирование, Управление кампаниями, Лидерские качества, Понимание основ маркетинга, PPC-кампании, Контент-маркетинг, Маркетинговая стратегия, SEO",Маркетолог
"Python, Spring Boot, Архитектура бэкенда, Django, Docker, Express.js, PostgreSQL, Микросервисы, Навыки исследования, REST API, Java",Бэкенд-разработчик
"Кровельные работы, Подготовка площадки, Клиентоориентированность, Монтаж гипсокартона, Поддержание чистоты на рабочем месте, Организационные навыки, Плотницкие работы",Строитель
"Терапевтическая коммуникация, Когнитивно-поведенческая терапия, Организационные навыки",Психолог
"C#, Игровая механика, Сториборд, Копирайтинг, Балансировка игрового процесса, Unity",Гейм-дизайнер
"Работа с офисной техникой, Работа под давлением, Проектирование систем, Контейнеризация, Сетевые технологии, Проектирование баз данных, Принципы DevOps, Облачные вычисления",Системный архитектор
"Работа с LinkedIn, Управление HR-системами, Подбор персонала, Управление конфликтами",HR-специалист
"Работа в команде, Настройка фаерволов, Групповые политики, Решение проблем, Настройка VPN, Коммуникабельность, Администрирование Linux, Безопасность сетей, Bash-скрипты, Инструменты автоматизации",Системный администратор
"Разработка предложений, Профилирование приложений, Разработка новых идей, Работа с SDK для мобильных платформ, Наставничество, Создание уровней",Разработчик мобильных игр
"Лидерские качества, Работа в команде, Эмоциональный интеллект, Маркетинг в социальных сетях, Маркетинговые исследования",Маркетолог
"Проведение физиопроцедур, Работа с травмированными пациентами, Укрепление мышц, Навыки продаж, Навыки исследования, Разработка программ реабилитации, Управление болью, Манипулятивные техники, Консультирование пациентов, Работа с ортопедическими проблемами, Оценка физического состояния",Физиотерапевт
